company_name,symbol
Piccadily Sugar and Allied Industries Ltd.,PICCADSUGBE
Rana Sugars Ltd.,RANASUGEQ
Ugar Sugar Works Ltd.,UGARSUGAREQ
Prudential Sugar Corporation Ltd.,PRUDMOULIBE
Kundan Minerals and Metals Ltd.,EASTSUGINDEQ1
Kundan Minerals and Metals Ltd.,KUNDANMMEQ
G M Breweries Ltd.,GMBREWEQ1
G M Breweries Ltd.,GMBREWEQ
United Breweries Ltd.,UBLEQ
Allied Blenders & Distillers Ltd.,ABDLEQ
Simbhaoli Sugars Ltd.,SIMBHALSBE
Manpasand Beverages Ltd.,MANPASANDBZ
Aurangabad Distillery Ltd.,AURDISSM
Sula Vineyards Ltd.,SULAEQ
Jagatjit Industries Ltd.,JAGAJITINDBE
Narmada Gelatines Ltd.,SHAWGELTINBE
Tilaknagar Industries Ltd.,TIEQ
Som Distilleries & Breweries Ltd.,SDBLEQ
Som Distilleries & Breweries Ltd.,SDBL-REBE
Som Distilleries & Breweries Ltd.,SDBL-RE1BE
Associated Alcohols & Breweries Ltd.,ASALCBREQ
Pioneer Distilleries Ltd.,PIONDISTEQ
United Spirits Ltd.,UNITDSPREQ
McDowell Holdings Ltd.,MCDHOLDINGBZ
Globus Spirits Ltd.,GLOBUSSPREQ
Ravi Kumar Distilleries Ltd.,RKDLBE
Waterbase Ltd.,WATERBASEEQ
Sharat Industries Ltd.,SHARTSEFODBE
Kellton Tech Solutions Ltd.,KELLTONTECEQ
Coastal Corporation Ltd.,COASTCORPEQ
Coastal Corporation Ltd.,COASTPP1E1
Coastal Corporation Ltd.,COAST-REBE
Mukka Proteins Ltd.,MUKKAEQ
Britannia Industries Ltd.,BRITANNIAEQ
Britannia Industries Ltd.,BRITANNIAN1
Britannia Industries Ltd.,BRITANNIAN2
Britannia Industries Ltd.,BRITANNIAN3
Nestle India Ltd.,NESTLEINDT0
Nestle India Ltd.,NESTLEINDEQ
Tasty Bite Eatables Ltd.,TASTYBITEEQ
Umang Dairies Ltd.,UMANGDAIRYBE
DFM Foods Ltd.,DFMFOODSEQ
Marico Ltd.,MARICOEQ
Marico Ltd.,MARICOINDP1
Sam Industries Ltd.,SAMINDUSEQ
Cera Sanitaryware Ltd.,CERAEQ
Adani Wilmar Ltd.,AWLEQ
Gokul Refoils & Solvent Ltd.,GOKULEQ
Raj Oil Mills Ltd.,ROMLEQ
Raj Oil Mills Ltd.,ROML-REBE
Kriti Nutrients Ltd.,KRITINUTBE
KN Agri Resources Ltd.,KNAGRISM
Manorama Industries Ltd.,MANORAMAEQ
Ramdevbaba Solvent Ltd.,RBSSM
Gokul Agro Resources Ltd.,GOKULAGROEQ
Gokul Agro Resources Ltd.,GOKUL-REBE
M K Proteins Ltd.,MKPLBE
CKP Products Ltd.,CKPPRODUCTSZ
Shanti Overseas (India) Ltd.,SHANTIEQ
Shree Ram Proteins Ltd.,SRPLEQ
Shree Ram Proteins Ltd.,SRPL-REBE
Soni Soya Products Ltd.,SONISOYASZ
Italian Edibles Ltd.,ITALIANEST
Biocon Ltd.,BIOCONEQ
Syngene International Ltd.,SYNGENEEQ
Kaveri Seed Company Ltd.,KSCLEQ
Rossari Biotech Ltd.,ROSSARIEQ
Agri-Tech (India) Ltd.,AGRITECHEQ
Nath Bio-Genes (India) Ltd.,NATHBIOGENEQ
Continental Seeds and Chemicals Ltd.,CONTIST
Bombay Super Hybrid Seeds Ltd.,BSHSLEQ
Indo US Bio-Tech Ltd.,INDOUSEQ
Shreeoswal Seeds and Chemicals Ltd.,OSWALSEEDSEQ
Kotyark Industries Ltd.,KOTYARKSM
Upsurge Seeds of Agriculture Ltd.,USASEEDSSM
Nirman Agri Genetics Ltd.,NIRMANST
Indegene Ltd.,INDGNEQ
Shubhshree Biofuels Energy Ltd.,SHUBHSHREEST
Neha International Ltd.,NEHAINTEQ
Pochiraju Industries Ltd.,POCHIRAJUBZ
Aristo Bio-Tech and Lifescience Ltd.,ARISTOSM
Avanti Feeds Ltd.,AVANTIFEEDEQ
Advanced Enzyme Technologies Ltd.,ADVENZYMESEQ
Narmada Agrobase Ltd.,NARMADAEQ
Narmada Agrobase Ltd.,NARMA-REBE
Dynemic Products Ltd.,DYNPROBE
Dynemic Products Ltd.,DYNPROPPE1
Dynemic Products Ltd.,DYNPRO-REBE
Varun Beverages Ltd.,VBLEQ
Sheetal Cool Products Ltd.,SCPLBE
Multi Commodity Exchange of India Ltd.,MCXEQ
Integra Essentia Ltd.,ESSENTIAEQ
Integra Essentia Ltd.,ESSEN-REBE
Integra Essentia Ltd.,ESSEN-RE1BE
Integra Essentia Ltd.,ESSEN-RE2BE
Vintage Coffee And Beverages Ltd.,VINCOFEEQ
Alpex Solar Ltd.,ALPEXSOLARSM
Ahimsa Industries Ltd.,AHIMSAST
Coffee Day Enterprises Ltd.,COFFEEDAYBE
Le Merite Exports Ltd.,LEMERITEST
Bansal Multiflex Ltd.,BANSALSZ
Goyal Aluminiums Ltd.,GOYALALUMEQ
Hardwyn India Ltd.,HARDWYNEQ
Debock Industries Ltd.,DILEQ
Debock Industries Ltd.,DIL-REBE
Rajnandini Metal Ltd.,RAJMETEQ
Spencers Retail Ltd.,SPENCERSEQ
Spencers Retail Ltd.,SPENCER-REBE
Anmol India Ltd.,ANMOLEQ
Shiv Aum Steels Ltd.,SHIVAUMST
Auro Impex & Chemicals Ltd.,AUROIMPEXSM
On Door Concepts Ltd.,ONDOORSM
Pramara Promotions Ltd.,PRAMARASM
Supriya Lifescience Ltd.,SUPRIYAEQ
Nupur Recyclers Ltd.,NRLEQ
Uma Exports Ltd.,UMAEXPORTSBE
Cell Point (India) Ltd.,CELLPOINTSM
Digidrive Distributors Ltd.,DIGIDRIVEEQ
Transteel Seating Technologies Ltd.,TRANSTEELSM
